Name,Brief Description,Proximity,Street Address,City,State,Zip Code,Phone Number,Web Site,Hours of Operation,Intake,Fee,Features,Detailed Description,Eligibility,Application Procedure,Required Documents,Age Restriction,Languages
"115th Street Library","Manhattan branch of the New York Public Library system.","","203 West 115th Street","NEW YORK","NY","10026","(212) 666-9393","http://www.nypl.org","Mon: 12:00 PM - 7:00 PM; Tue: 11:00 AM - 6:00 PM; Wed: 12:00 PM - 7:00 PM; Thu: 11:00 AM - 6:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Early Childhood Discussions, English Classes","","","","","",""
"125th Street Library","Manhattan branch of the New York Public Library system.","","224 East 125th Street","NEW YORK","NY","10035","(212) 534-5050","http://www.nypl.org","Mon: 11:00 AM - 6:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 11:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Early Childhood Discussions, English Classes","","","","","",""
"58th Street Library","Manhattan branch of the New York Public Library system.","","127 East 58th Street","NEW YORK","NY","10022","(212) 759-7358","http://www.nypl.org","Mon: 11:00 AM - 7:00 PM; Tue: 10:00 AM - 6:00 PM; Wed: 11:00 AM - 7:00 PM; Thu: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM","","","Computers, Senior Programs","","","","","",""
"67th Street Library","Manhattan branch of the New York Public Library system.","","328 East 67th Street","NEW YORK","NY","10065","(212) 734-1717","http://www.nypl.org","Mon: 11:00 AM - 6:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 11:00 AM - 6:00 PM; Thu: 12:00 PM - 7:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM","","","Adult Literacy, Early Childhood Discussions, Senior Programs","","","","","",""
"96th Street Library","Manhattan branch of the New York Public Library system.","","112 East 96th Street","NEW YORK","NY","10128","(212) 289-0908","http://www.nypl.org","Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Computers, Early Childhood Discussions, Poetry Readings, Senior Programs","","","","","",""
"Adult Learning Center Library","The Queens Library Adult Learner Program has six Adult Learning Centers and about 50 English classes each semester to serve the borough.","","91-14 Merrick Boulevard","JAMAICA","NY","11432","(718) 480-4222","http://www.queenslibrary.org","Mon: 10:00 AM - 8:30 PM; Tue: 1:00 PM - 8:30 PM; Wed - Thu: 10:00 AM - 8:30 PM; Fri: 1:00 PM - 5:30 PM; Sat: 10:00 AM - 1:00 PM, 2:00 PM - 5:00 PM","","","Adult Literacy, Computers, English Classes","","","","","",""
"Aguilar Center for Reading and Writing Library","Manhattan branch of the New York Public Library system.","","174 East 110th Street","NEW YORK","NY","10029","(212) 534-1613","http://www.nypl.org","Mon: 1:00 PM - 6:00 PM; Tue: 12:00 PM - 6:00 PM; Wed: 1:00 PM - 6:00 PM; Thu: 12:00 PM - 6:00 PM; Sat: 1:00 PM - 5:00 PM","","","Adult Literacy, Computers","","","","","",""
"Aguilar Library","Manhattan branch of the New York Public Library system.","","174 East 110th Street","NEW YORK","NY","10029","(212) 534-2930","http://www.nypl.org","Mon: 11:00 AM - 6:00 PM; Tue: 11:00 AM - 7:00 PM; Wed: 11:00 AM - 6:00 PM; Thu: 11:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Adult Literacy, Computers, Early Childhood Discussions","","","","","",""
"Allerton Library","Bronx branch of the New York Public Library system.","","2740 Barnes Avenue","BRONX","NY","10467","(718) 881-4240","http://www.nypl.org","Mon - Thu: 10:00 AM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Early Childhood Discussions, Senior Programs","","","","","",""
"Andrew Heiskell Braille and Talking Book Library","Manhattan - central branch of the New York Public Library system.","","40 West 20th Street","NEW YORK","NY","10011","(212) 206-5400","http://www.nypl.org","Mon: 10:00 AM - 5:00 PM; Tue: 12:00 PM - 7:00 PM; Wed: 10:00 AM - 5:00 PM; Thu: 12:00 PM - 7:00 PM; Fri - Sat: 10:00 AM - 5:00 PM","","","Computers, Early Childhood Discussions, Senior Programs","","","","","",""
